z_fit,logn
0.0017796444465214129,11.934545927493705
0.0019421997150150094,12.321100546486914
0.0029331022055722523,12.410938140390513
0.0030375272061690575,11.800682198287927
0.003373175607004855,12.720821659004715
0.003396050848021941,10.273719109257637
0.003992163602805137,13.06411082132042
0.004057486134294441,13.604256671822057
0.0039878658668788544,13.058766196045404
0.0038725433335881953,12.621516068669404
0.004592016189003601,11.846391926086786
0.004946052694232582,11.239454446386365
0.006483516871523588,11.184036345646172
0.009326591208371938,11.861209436747155
0.009426005452874933,12.085182423054484
0.00971276750852082,12.771449945762516
0.011442661559785159,10.78067501693686
0.01195385705498734,13.786481754776794
0.011960119798166692,12.407697917500744
0.012946661284549067,12.00448727811185
0.01451617104214747,12.599769837248411
0.014923151855109182,13.052439470241222
0.016702992319349914,10.954447308927028
0.0168809537785171,12.65610555198995
0.017273924494823466,11.687926735545563
0.017417685814229405,11.065786228168326
0.01763763439722385,11.037710272109775
0.019305954837257888,10.165058956405371
0.019595142766264634,13.183317434521701
0.020412426056164328,12.08787448841069
0.02417582474048458,10.9940057438343
